num_gt,precision,tool_accuracy,psnr,unique_tool_count,tool_step_count,pixel_fidelity,element_count_ratio,struct_completeness,num_matched,tool_call_count,canvas_fill_ratio,unique_tool_list,alignment_f1,num_gen,recall,id,layout_overlap,tool_efficiency
24,1.0,,11.5652,2,14,0.8503999710083008,0.4583,0.38,11,22,0.2923,"['create_frame', 'create_text']",0.0541,11,0.4583,gid68-5,0.6285,0.0256
27,1.0,,22.6499,4,20,0.9467999935150146,0.2593,0.279,7,24,0.0588,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius']",0.1667,7,0.2593,gid65-157,0.4118,0.0204
154,1.0,,11.9057,0,,0.7681999802589417,0.0649,0.077,10,0,0.3816,[],0.0455,10,0.0649,gid65-72,0.1219,
258,1.0,,16.0614,2,32,0.724399983882904,0.093,0.11,24,48,0.3567,"['create_frame', 'create_text']",0.0675,24,0.093,gid85-30,0.1702,0.012
14,1.0,,13.7335,3,8,0.7989000082015991,0.2143,0.189,3,8,0.0353,"['create_frame', 'create_text', 'set_corner_radius']",0.0,3,0.2143,gid68-163,0.353,0.05
64,1.0,,15.5217,0,,0.8618000149726868,0.1562,0.188,10,0,0.3384,[],0.1364,10,0.1562,gid101-2,0.2702,
51,1.0,,7.4264,0,,0.65829998254776,0.1176,0.127,6,0,0.7676,[],0.0519,6,0.1176,gid19-9,0.2105,
19,0.8261,,16.5255,5,37,0.7652999758720398,1.0,0.709,19,54,0.2604,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius', 'set_fill_color']",0.2222,23,1.0,gid20-69,0.9048,0.0103
110,1.0,,8.6992,5,21,0.6881999969482422,0.0909,0.086,10,28,0.226,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius', 'set_fill_color']",0.0,10,0.0909,gid11-46,0.1667,0.0182
132,1.0,,12.3978,0,,0.7301999926567078,0.053,0.087,7,0,1.0,[],0.1069,7,0.053,gid30-0,0.1007,
118,1.0,,11.1609,4,15,0.7204999923706055,0.0847,0.1,10,22,0.4855,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius']",0.0577,10,0.0847,gid54-18,0.1562,0.0238
38,1.0,,16.7315,0,,0.8931000232696533,0.0263,0.026,1,0,0.0,[],0.0,1,0.0263,gid34-35,0.0513,
51,1.0,,16.9258,4,23,0.8496000170707703,0.2941,0.346,15,34,0.2562,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius']",0.2887,15,0.2941,gid38-18,0.4545,0.0161
26,1.0,,6.4506,0,,0.5116000175476074,0.5769,0.474,15,0,0.464,[],0.1143,15,0.5769,gid20-103,0.7317,
51,1.0,,9.0427,7,30,0.7942000031471252,0.2549,0.238,13,38,0.8109,"['create_frame', 'create_rectangle', 'create_text', 'get_document_info', 'read_my_design', 'set_corner_radius', 'set_fill_color']",0.0526,13,0.2549,gid100-1,0.4062,0.0132
245,1.0,,10.522,3,39,0.7039999961853027,0.1102,0.131,27,56,0.5524,"['create_frame', 'create_text', 'get_document_info']",0.0849,27,0.1102,gid74-18,0.1985,0.0101
132,1.0,,11.9971,5,25,0.7533000111579895,0.1061,0.154,14,36,0.4612,"['create_frame', 'create_rectangle', 'create_text', 'get_document_info', 'set_fill_color']",0.1644,14,0.1061,gid11-61,0.1918,0.0149
33,1.0,,15.48,0,,0.916700005531311,0.303,0.284,10,0,0.0165,[],0.0833,10,0.303,gid79-67,0.4651,
81,1.0,,9.2607,5,23,0.598800003528595,0.1852,0.234,15,36,0.2746,"['create_frame', 'create_rectangle', 'create_text', 'set_corner_radius', 'set_fill_color']",0.2056,15,0.1852,gid6-27,0.3125,0.0154
188,1.0,,10.5257,3,29,0.6880000233650208,0.1011,0.113,19,40,0.1833,"['create_frame', 'create_text', 'get_document_info']",0.0543,19,0.1011,gid85-24,0.1836,0.0137
